French,English
partie,part
histoire,history
chercher,search
seulement,only
police,police
pensais,thought
aide,help
demande,request
mettre,to put
laisse,leash
parlé,speak
arrivé,come
bébé,baby
longtemps,long time
heures,hours
vont,will
pendant,while
revoir,meet again
aucune,any
place,square
parle,speak
voici,here is
pourrais,could
affaire,case
donner,give
donné,given
train,train
corps,body
endroit,place
yeux,eyes
façon,way
écoute,listen
premier,first
perdu,lost
main,hand
côté,side
pouvoir,power
vieux,old
sois,be
tiens,here
tellement,so much
enfant,child
point,point
venu,came
suite,after
venez,come
devant,in front of
demandé,request
chambre,bedroom
mis,placed
aujourd'hui,today
cause,cause
enfin,finally
attendez,Wait
boulot,job
dirait,would say
terre,Earth
compte,account
donne,given
loin,far
fin,end
croire,believe
chérie,sweetheart
plutôt,rather
aura,will have
filles,girls
jouer,to play
bureau,office
